ISO_Code,Countries,1A Government Consumption,,1B  Transfers and subsidies,,1C  Government enterprises and investment,,1Di Top marginal income tax rate,,1Dii Top marginal income and payroll tax rate,,1D  Top marginal tax rate,1  Size of Government,2A  Judicial independence,2B  Impartial courts,2C  Protection of property rights,2D  Military interference in rule of law and politics,2E Integrity of the legal system,2F Legal enforcement of contracts,2G Regulatory restrictions on the sale of real property,2H Reliability of police,2I Business costs of crime,2  Legal System & Property Rights,3A  Money growth,,3B  Standard deviation of inflation,,3C  Inflation: Most recent year,,3D  Freedom to own foreign currency bank accounts,3  Sound Money,4Ai  Revenue from trade taxes (% of trade sector),,4Aii  Mean tariff rate,,4Aiii  Standard deviation of tariff rates,,4A  Tariffs,4Bi  Non-tariff trade barriers,4Bii  Compliance costs of importing and exporting,4B  Regulatory trade barriers,4C  Black market exchange rates,4Di  Foreign ownership/investment restrictions,4Dii  Capital controls,4Diii Freedom of foreigners to visit,4D  Controls of the movement of capital and people,4  Freedom to trade internationally,5Ai  Ownership of banks,5Aii Private sector credit,5Aiii  Interest rate controls/negative real interest rates),5A  Credit market regulations,5Bi  Hiring regulations and minimum wage,5Bii  Hiring and firing regulations,5Biii  Centralized collective bargaining,5Biv  Hours Regulations,5Bv Mandated cost of worker dismissal,5Bvi  Conscription,5B  Labor market regulations,5Ci  Administrative requirements,5Cii  Bureaucracy costs,"5Ciii  Starting
a  business",5Civ  Extra payments/bribes/favoritism,5Cv Licensing restrictions,5Cvi Tax compliance,5C  Business regulations,5  Regulation,SUMMARY INDEX,Rank,,
ALB,Albania,9.4,7.9,7.6,9.3,8,17.9,10,10,7,32,8.5,8.4,2.2,3.2,3.1,8.3,4.2,4.3,5.7,4.5,5.4,4.6,9.4,-2.8,9.8,0.46,9.6,2.03,10,9.7,8.6,2.1,9.2,3.8,8.0,4.9,8.6,5.1,7.4,6.3,10.0,5.0,4.6,0.0,3.2,7.0,5,6.2,10,7.1,5.6,5.7,5.5,8.0,6.3,3,5.7,4.8,6.0,9.6,3.4,,6.0,6.0,6.2,7.18,62,,
DZA,Algeria,0.6,37.9,7.8,8.5,0,61.3,7,35,2,53,4.5,3.2,3.7,2.8,3.7,5.0,5.0,4.4,6.5,4.6,5.1,4.5,9.2,4.2,5.6,11.01,8.2,8.89,5,7.0,8.5,2.3,6.3,18.6,5.8,10.4,6.9,4.1,7.1,5.6,7.2,3.7,0.0,1.1,1.6,5.3,0,7.8,10,5.9,5.6,2.8,5.7,6.0,7.8,1,4.8,2.5,6.5,9.0,2.7,6.9,4.9,5.4,5.4,5.09,148,,
AGO,Angola,3.3,28.9,8.4,6.4,0,76.9,10,17,9,25,9.5,5.3,2.4,2.5,2.9,3.3,4.2,2.3,5.4,3.3,4.0,3.4,8.8,5.8,4.4,13.88,7.9,10.29,5,6.6,9.1,1.4,8.5,7.3,7.3,6.7,8.3,4.6,4.1,4.3,10.0,3.4,2.3,0.0,1.9,6.1,8,10.0,10,9.3,3.3,3.2,5.5,4.0,0.6,0,2.8,2.9,7.9,6.4,2.3,7.5,6.8,5.7,5.9,5.46,141,,
ARG,Argentina,5.1,22.5,8.3,6.8,6,12.7,7,35,1,58,4.0,5.9,2.3,2.1,2.5,7.5,3.3,4.8,6.8,2.9,4.4,4.1,0.0,75.0,9.4,1.59,5.1,24.40,5,4.9,5.6,6.6,7.5,12.5,5.9,10.3,6.3,2.4,7.3,4.9,1.2,3.8,0.8,4.8,3.1,3.9,5,9.4,8,7.5,3.9,2.9,2.8,10.0,2.5,10,5.3,2.2,5.6,9.0,2.8,4.6,5.5,4.9,5.9,4.92,149,,
ARM,Armenia,8.0,12.8,8.0,7.9,10,14.0,9,25,7,34,8.0,8.5,3.3,4.2,5.9,5.8,5.0,5.0,9.8,5.1,7.9,5.8,9.7,1.7,8.2,4.47,9.5,2.56,10,9.3,9.0,1.5,9.3,3.5,8.4,4.1,8.9,5.1,7.7,6.4,10.0,5.6,5.4,1.1,4.0,7.3,10,8.8,10,9.6,6.7,6.3,7.4,10.0,9.0,0,6.6,4.8,6.1,9.9,4.5,9.4,5.7,6.7,7.6,7.72,17,,
AUS,Australia,4.4,25.0,6.8,12.3,10,11.2,6,45,5,47,5.5,6.7,7.9,5.8,7.1,10.0,9.2,6.2,8.3,8.3,7.3,7.8,9.0,4.9,9.2,2.12,9.9,0.56,10,9.5,9.2,1.1,9.5,2.7,8.9,2.8,9.2,6.3,8.9,7.6,10.0,7.3,4.6,0.1,4.0,7.7,10,8.8,10,9.6,8.9,3.1,4.6,6.0,7.9,10,6.7,3.0,2.0,9.9,7.4,9.1,8.8,6.7,7.7,7.87,8,,
AUT,Austria,4.2,25.7,2.1,29.5,10,4.6,4,50,3,54,3.5,4.9,6.8,6.0,8.1,10.0,10.0,6.4,8.1,8.2,8.3,8.0,8.9,5.5,9.8,0.62,9.5,2.49,10,9.5,9.6,0.6,8.9,5.5,6.1,9.7,8.2,6.3,8.9,7.6,10.0,6.4,3.1,6.6,5.3,7.8,8,9.0,10,9.0,10.0,3.9,2.3,8.0,10.0,3,6.2,3.9,1.5,9.0,7.0,7.7,8.1,6.2,7.1,7.48,31,,
AZE,Azerbaijan,5.7,20.7,8.1,7.4,0,77.1,8,30,4,45,6.0,4.9,3.8,4.6,5.0,5.8,5.8,7.6,9.6,5.5,7.9,6.2,9.2,4.1,3.5,16.33,9.8,1.06,5,6.9,9.1,1.4,8.2,9.1,6.7,8.4,8.0,5.4,6.3,5.8,10.0,5.4,4.6,0.0,3.3,6.8,5,10.0,10,8.3,8.3,6.5,7.4,8.0,7.8,1,6.5,5.3,5.7,9.8,4.4,7.0,7.6,6.6,7.2,6.39,115,,
BHS,Bahamas,6.6,17.5,8.9,4.4,7,,10,0,10,9,10.0,8.1,,6.6,,10.0,7.5,5.5,3.7,,,6.7,9.3,3.3,9.4,1.55,9.6,1.97,0,7.1,3.9,9.1,2.8,35.9,3.0,17.6,3.2,,7.8,7.8,10.0,,0.8,8.2,4.5,6.4,10,5.1,10,8.4,8.9,,,10.0,6.5,10,8.9,,,9.1,,8.0,9.3,8.8,8.7,7.39,40,,
BHR,Bahrain,3.6,27.6,9.3,3.1,4,,10,0,10,17,10.0,6.7,5.9,5.1,7.5,5.0,7.5,4.8,8.5,6.7,5.8,6.3,9.6,1.9,5.3,11.64,9.5,2.75,10,8.6,9.5,0.7,9.0,5.0,6.9,7.9,8.5,6.5,8.3,7.4,10.0,7.6,6.7,0.6,5.0,7.7,10,9.4,10,9.8,8.3,5.4,8.2,8.0,10.0,10,8.3,5.7,3.2,9.0,7.1,9.9,9.6,7.4,8.5,7.57,25,,
